indicator,indicator_label,area_code,area_name,area_level,pref_code,pref_name,time_code,time_name,year,cat_code,cat_name,unit,value,value_raw
age_bands,年齢5歳階級別人口,01100,北海道 札幌市,city,01,,2010100000,2010年度,2010,00001|A1231,観測値|A1231_年齢中位数,歳,44.1,44.1
age_bands,年齢5歳階級別人口,01100,北海道 札幌市,city,01,,2015100000,2015年度,2015,00001|A1231,観測値|A1231_年齢中位数,歳,46.4,46.4
age_bands,年齢5歳階級別人口,01100,北海道 札幌市,city,01,,2020100000,2020年度,2020,00001|A1231,観測値|A1231_年齢中位数,歳,48.5,48.5
age_bands,年齢5歳階級別人口,01101,北海道 札幌市 中央区,city,01,,2010100000,2010年度,2010,00001|A1231,観測値|A1231_年齢中位数,歳,42.3,42.3
age_bands,年齢5歳階級別人口,01101,北海道 札幌市 中央区,city,01,,2015100000,2015年度,2015,00001|A1231,観測値|A1231_年齢中位数,歳,44.2,44.2
age_bands,年齢5歳階級別人口,01101,北海道 札幌市 中央区,city,01,,2020100000,2020年度,2020,00001|A1231,観測値|A1231_年齢中位数,歳,47.1,47.1
age_bands,年齢5歳階級別人口,01102,北海道 札幌市 北区,city,01,,2010100000,2010年度,2010,00001|A1231,観測値|A1231_年齢中位数,歳,43.3,43.3
age_bands,年齢5歳階級別人口,01102,北海道 札幌市 北区,city,01,,2015100000,2015年度,2015,00001|A1231,観測値|A1231_年齢中位数,歳,45.8,45.8
age_bands,年齢5歳階級別人口,01102,北海道 札幌市 北区,city,01,,2020100000,2020年度,2020,00001|A1231,観測値|A1231_年齢中位数,歳,47.5,47.5
age_bands,年齢5歳階級別人口,01103,北海道 札幌市 東区,city,01,,2010100000,2010年度,2010,00001|A1231,観測値|A1231_年齢中位数,歳,42.6,42.6
age_bands,年齢5歳階級別人口,01103,北海道 札幌市 東区,city,01,,2015100000,2015年度,2015,00001|A1231,観測値|A1231_年齢中位数,歳,45.0,45.0
age_bands,年齢5歳階級別人口,01103,北海道 札幌市 東区,city,01,,2020100000,2020年度,2020,00001|A1231,観測値|A1231_年齢中位数,歳,47.3,47.3
age_bands,年齢5歳階級別人口,01104,北海道 札幌市 白石区,city,01,,2010100000,2010年度,2010,00001|A1231,観測値|A1231_年齢中位数,歳,42.2,42.2
