indicator,indicator_label,area_code,area_name,area_level,pref_code,pref_name,time_code,time_name,year,cat_code,cat_name,unit,value,value_raw
age_bands,年齢5歳階級別人口,00000,全国,national,,,1975100000,1975年度,1975,00001|A1201,観測値|A1201_0～4歳人口,人,10000607.0,10000607
age_bands,年齢5歳階級別人口,00000,全国,national,,,1976100000,1976年度,1976,00001|A1201,観測値|A1201_0～4歳人口,人,9870000.0,9870000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1977100000,1977年度,1977,00001|A1201,観測値|A1201_0～4歳人口,人,9605000.0,9605000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1978100000,1978年度,1978,00001|A1201,観測値|A1201_0～4歳人口,人,9249000.0,9249000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1979100000,1979年度,1979,00001|A1201,観測値|A1201_0～4歳人口,人,8865000.0,8865000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1980100000,1980年度,1980,00001|A1201,観測値|A1201_0～4歳人口,人,8515416.0,8515416
age_bands,年齢5歳階級別人口,00000,全国,national,,,1981100000,1981年度,1981,00001|A1201,観測値|A1201_0～4歳人口,人,8209000.0,8209000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1982100000,1982年度,1982,00001|A1201,観測値|A1201_0～4歳人口,人,7970000.0,7970000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1983100000,1983年度,1983,00001|A1201,観測値|A1201_0～4歳人口,人,7773000.0,7773000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1984100000,1984年度,1984,00001|A1201,観測値|A1201_0～4歳人口,人,7631000.0,7631000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1985100000,1985年度,1985,00001|A1201,観測値|A1201_0～4歳人口,人,7459263.0,7459263
age_bands,年齢5歳階級別人口,00000,全国,national,,,1986100000,1986年度,1986,00001|A1201,観測値|A1201_0～4歳人口,人,7314000.0,7314000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1987100000,1987年度,1987,00001|A1201,観測値|A1201_0～4歳人口,人,7161000.0,7161000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1988100000,1988年度,1988,00001|A1201,観測値|A1201_0～4歳人口,人,6965000.0,6965000
age_bands,年齢5歳階級別人口,00000,全国,national,,,1989100000,1989年度,1989,00001|A1201,観測値|A1201_0～4歳人口,人,6735000.0,6735000
