indicator,indicator_label,area_code,area_name,area_level,pref_code,pref_name,time_code,time_name,year,cat_code,cat_name,unit,value,value_raw
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,1975100000,1975年度,1975,00001|F1102,観測値|F1102_就業者数,人,53140818.0,53140818
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,1980100000,1980年度,1980,00001|F1102,観測値|F1102_就業者数,人,55811309.0,55811309
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,1985100000,1985年度,1985,00001|F1102,観測値|F1102_就業者数,人,58357232.0,58357232
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,1990100000,1990年度,1990,00001|F1102,観測値|F1102_就業者数,人,61681642.0,61681642
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,1995100000,1995年度,1995,00001|F1102,観測値|F1102_就業者数,人,64141544.0,64141544
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,2000100000,2000年度,2000,00001|F1102,観測値|F1102_就業者数,人,62977960.0,62977960
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,2005100000,2005年度,2005,00001|F1102,観測値|F1102_就業者数,人,61505973.0,61505973
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,2010100000,2010年度,2010,00001|F1102,観測値|F1102_就業者数,人,59611311.0,59611311
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,2015100000,2015年度,2015,00001|F1102,観測値|F1102_就業者数,人,58919036.0,58919036
labour,働く人の環境（就業・求人・給与）,00000,全国,national,,,2020100000,2020年度,2020,00001|F1102,観測値|F1102_就業者数,人,57643225.0,57643225
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,1975100000,1975年度,1975,00001|F1102,観測値|F1102_就業者数,人,2462411.0,2462411
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,1980100000,1980年度,1980,00001|F1102,観測値|F1102_就業者数,人,2598312.0,2598312
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,1985100000,1985年度,1985,00001|F1102,観測値|F1102_就業者数,人,2625352.0,2625352
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,1990100000,1990年度,1990,00001|F1102,観測値|F1102_就業者数,人,2694903.0,2694903
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,1995100000,1995年度,1995,00001|F1102,観測値|F1102_就業者数,人,2806435.0,2806435
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,2000100000,2000年度,2000,00001|F1102,観測値|F1102_就業者数,人,2730723.0,2730723
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,2005100000,2005年度,2005,00001|F1102,観測値|F1102_就業者数,人,2604271.0,2604271
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,2010100000,2010年度,2010,00001|F1102,観測値|F1102_就業者数,人,2509464.0,2509464
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,2015100000,2015年度,2015,00001|F1102,観測値|F1102_就業者数,人,2435098.0,2435098
labour,働く人の環境（就業・求人・給与）,01000,北海道,pref,01,北海道,2020100000,2020年度,2020,00001|F1102,観測値|F1102_就業者数,人,2347270.0,2347270
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,1975100000,1975年度,1975,00001|F1102,観測値|F1102_就業者数,人,688057.0,688057
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,1980100000,1980年度,1980,00001|F1102,観測値|F1102_就業者数,人,722131.0,722131
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,1985100000,1985年度,1985,00001|F1102,観測値|F1102_就業者数,人,718014.0,718014
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,1990100000,1990年度,1990,00001|F1102,観測値|F1102_就業者数,人,717945.0,717945
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,1995100000,1995年度,1995,00001|F1102,観測値|F1102_就業者数,人,736263.0,736263
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,2000100000,2000年度,2000,00001|F1102,観測値|F1102_就業者数,人,729472.0,729472
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,2005100000,2005年度,2005,00001|F1102,観測値|F1102_就業者数,人,685401.0,685401
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,2010100000,2010年度,2010,00001|F1102,観測値|F1102_就業者数,人,639584.0,639584
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,2015100000,2015年度,2015,00001|F1102,観測値|F1102_就業者数,人,625970.0,625970
labour,働く人の環境（就業・求人・給与）,02000,青森県,pref,02,青森県,2020100000,2020年度,2020,00001|F1102,観測値|F1102_就業者数,人,602391.0,602391
labour,働く人の環境（就業・求人・給与）,03000,岩手県,pref,03,岩手県,1975100000,1975年度,1975,00001|F1102,観測値|F1102_就業者数,人,702574.0,702574
labour,働く人の環境（就業・求人・給与）,03000,岩手県,pref,03,岩手県,1980100000,1980年度,1980,00001|F1102,観測値|F1102_就業者数,人,723158.0,723158
labour,働く人の環境（就業・求人・給与）,03000,岩手県,pref,03,岩手県,1985100000,1985年度,1985,00001|F1102,観測値|F1102_就業者数,人,729651.0,729651
labour,働く人の環境（就業・求人・給与）,03000,岩手県,pref,03,岩手県,1990100000,1990年度,1990,00001|F1102,観測値|F1102_就業者数,人,738363.0,738363
labour,働く人の環境（就業・求人・給与）,03000,岩手県,pref,03,岩手県,1995100000,1995年度,1995,00001|F1102,観測値|F1102_就業者数,人,747532.0,747532
