area_code,area_name,pref_name,area_level,pop_1980,pop_2000,pop_2010,pop_2020,pop_latest,pop_latest_year,pop_chg_1980_2020,pop_chg_2000_2020,pop_2030,pop_2040,pop_2050,pop_chg_2020_2050,households_2000,households_2020,households_chg_2000_2020,avg_household_size_2020,single_household_share_2020,young_2020,working_2020,old_2020,aging_rate_2020,old_2050_raw,aging_rate_2050,social_change,social_change_year,natural_change,natural_change_year,consumption_month,housing_cost_month,consumption_year
00000,全国,,national,117060396.0,126925843.0,128057352.0,126146099.0,123802000.0,2024,7.761551566936431,-0.6143303692692448,120115783.0,112837404.0,104686386.0,-17.011792810176395,46782383.0,55704949.0,19.072491454742703,2.2109883809425983,37.96977177018868,14955692.0,72922764.0,35335805.0,28.7,,37.137805101037685,0.0,2025,-848728.0,2023,314001.0,18665.0,2025
01000,北海道,北海道,pref,5575989.0,5683062.0,5506419.0,5224614.0,5043000.0,2024,-6.301572689616142,-8.066918854659688,4791556.0,4319217.0,3820016.0,-26.88424446284453,2277968.0,2469063.0,8.388836015255707,2.038319394847357,40.49410646872923,555804.0,2945727.0,1664023.0,32.2,1627831.0,42.61319847874982,-5162.0,2025,-50690.0,2023,300210.0,28210.0,2025
02000,青森県,青森県,pref,1523907.0,1475728.0,1373339.0,1237984.0,1165000.0,2024,-18.762496661541682,-16.11028590634589,1076878.0,914275.0,754751.0,-39.033864734923874,504373.0,509649.0,1.046051235890899,2.3379502363391276,33.14379111898581,129112.0,676167.0,412943.0,33.9,365429.0,48.41716009650865,-4542.0,2025,-15139.0,2023,273855.0,20462.0,2025
03000,岩手県,岩手県,pref,1421927.0,1416180.0,1330147.0,1210534.0,1145000.0,2024,-14.866656305140836,-14.521176686579384,1066088.0,923684.0,783242.0,-35.297810718245,474660.0,490828.0,3.406227615556401,2.392092545657542,33.268273203647716,132447.0,658816.0,404359.0,33.8,359135.0,45.852367467526,-3967.0,2025,-14180.0,2023,311191.0,25209.0,2025
04000,宮城県,宮城県,pref,2082320.0,2365320.0,2348165.0,2301996.0,2248000.0,2024,10.54957931537901,-2.677185327989451,2172047.0,2014339.0,1829565.0,-20.52266815407151,831669.0,980549.0,17.90135258137553,2.2960504778445543,36.94409968293272,268428.0,1346845.0,638984.0,28.3,720225.0,39.36591484861155,-2046.0,2025,-16312.0,2023,297898.0,21372.0,2025
05000,秋田県,秋田県,pref,1256745.0,1189279.0,1085997.0,959502.0,897000.0,2024,-23.651814807299807,-19.320697666401244,818711.0,686200.0,560429.0,-41.59167985058916,388424.0,383531.0,-1.2597058884106005,2.4087022952512314,30.550072875465084,92673.0,500687.0,357568.0,37.6,279900.0,49.943882275899355,-3836.0,2025,-13906.0,2023,282983.0,12205.0,2025
06000,山形県,山形県,pref,1251917.0,1244147.0,1168924.0,1068027.0,1011000.0,2024,-14.688673450396472,-14.155883508942269,945122.0,827776.0,710838.0,-33.44381743158179,376219.0,396792.0,5.468357525802792,2.6092335530958284,28.42572430895784,120086.0,578819.0,359554.0,34.0,314811.0,44.28730596844851,-4281.0,2025,-11824.0,2023,344225.0,18185.0,2025
07000,福島県,福島県,pref,2035272.0,2126935.0,2029064.0,1833152.0,1743000.0,2024,-9.930859364252054,-13.812504848526164,1640431.0,1449067.0,1247000.0,-31.975089899801002,686225.0,740089.0,7.849320558125972,2.417210632775247,33.14939149210433,206152.0,1020241.0,572825.0,31.8,551059.0,44.19077786688052,-7197.0,2025,-18495.0,2023,327778.0,18000.0,2025
08000,茨城県,茨城県,pref,2558007.0,2985676.0,2969770.0,2867009.0,2806000.0,2024,12.079794934103006,-3.974543788408391,2687850.0,2473182.0,2245065.0,-21.693130366873625,983817.0,1181598.0,20.10343387032345,2.3721773395012518,32.647313214815874,333741.0,1638165.0,839907.0,29.9,899090.0,40.047392837178435,-5960.0,2025,-22705.0,2023,323499.0,10767.0,2025
09000,栃木県,栃木県,pref,1792201.0,2004817.0,2007683.0,1933146.0,1885000.0,2024,7.864352268523445,-3.5749397575938313,1801696.0,1658322.0,1502202.0,-22.292366950038954,665934.0,795449.0,19.448624037817552,2.3781348647116283,32.906823693285176,227553.0,1115611.0,554381.0,29.2,595339.0,39.63108822914628,-2011.0,2025,-15091.0,2023,316585.0,13764.0,2025
10000,群馬県,群馬県,pref,1848562.0,2024852.0,2008068.0,1939110.0,1890000.0,2024,4.898293917109631,-4.234482322658639,1814568.0,1672913.0,1520630.0,-21.581034598346662,690972.0,803215.0,16.244218289597832,2.346705427562981,32.38236337717797,224304.0,1096231.0,576729.0,30.4,608748.0,40.03261805962002,-1516.0,2025,-16793.0,2023,301956.0,12671.0,2025
11000,埼玉県,埼玉県,pref,5420480.0,6938006.0,7194556.0,7344765.0,7332000.0,2024,35.500269348839964,5.862765180658536,7224481.0,6952930.0,6633932.0,-9.678090449456178,2470487.0,3157627.0,27.813949233491208,2.2817628554607623,33.95394706214508,858384.0,4335188.0,1934994.0,27.1,2352016.0,35.45432784056273,22427.0,2025,-41489.0,2023,358031.0,11989.0,2025
12000,千葉県,千葉県,pref,4735424.0,5926285.0,6216289.0,6284480.0,6251000.0,2024,32.71208660512765,6.04417438580831,6178890.0,5955795.0,5690156.0,-9.457011558633333,2164117.0,2767661.0,27.888695481806213,2.2279263970551306,36.25588538480688,734496.0,3715691.0,1699991.0,27.6,2022041.0,35.53577441462062,7836.0,2025,-37344.0,2023,342397.0,17368.0,2025
13000,東京都,東京都,pref,11618281.0,12064101.0,13159388.0,14047594.0,14178000.0,2024,20.909401313326814,16.44128310928432,14348591.0,14507419.0,14399144.0,2.50256378423237,5371057.0,7216650.0,34.36182114619153,1.9176734357354175,50.24228693368807,1566840.0,8944193.0,3107822.0,22.8,4258778.0,29.57660538709801,65219.0,2025,-50893.0,2023,357613.0,28050.0,2025
14000,神奈川県,神奈川県,pref,6924348.0,8489974.0,9048331.0,9237337.0,9225000.0,2024,33.403708190287375,8.802889149012705,9121807.0,8869022.0,8524492.0,-7.716996792473852,3318332.0,4210122.0,26.87464665982788,2.1519276638539218,39.21480185134777,1085763.0,5628918.0,2308578.0,25.6,2981400.0,34.974518129643386,28052.0,2025,-44753.0,2023,332212.0,30721.0,2025
15000,新潟県,新潟県,pref,2451357.0,2475733.0,2374450.0,2201272.0,2099000.0,2024,-10.201900416789556,-11.086050070827513,1974466.0,1750660.0,1525004.0,-30.721691821819384,791880.0,862796.0,8.955397282416522,2.481705988437591,30.85109342185175,247480.0,1210917.0,715935.0,32.9,658557.0,43.1839523043874,-6379.0,2025,-22269.0,2023,286580.0,9700.0,2025
16000,富山県,富山県,pref,1103459.0,1120851.0,1093247.0,1034814.0,997000.0,2024,-6.220892665699407,-7.676042578362329,942404.0,851912.0,761719.0,-26.39073302062013,356361.0,403007.0,13.089535611360393,2.500537211512455,29.65779750723933,115177.0,568052.0,333008.0,32.8,315160.0,41.37483770261737,-2324.0,2025,-9583.0,2023,345289.0,15807.0,2025
17000,石川県,石川県,pref,1119304.0,1180977.0,1169788.0,1132526.0,1098000.0,2024,1.181269789083217,-4.102620118766076,1056997.0,978926.0,896801.0,-20.8140916853123,406618.0,468835.0,15.30109340953918,2.3405057216291447,34.66699371847238,137096.0,641383.0,333660.0,30.0,343640.0,38.31842292771752,-2774.0,2025,-7989.0,2023,293071.0,14675.0,2025
